Tweet,HS,HS_Weak,HS_Moderate,HS_Strong
Saya tidak tahu harus berkata apa sekarang bahwa saya orang yang menyakitkan sehingga orang lain tidak menilai saya,1,1,0,0
hahahahhahahahaah bau jigong,1,0,1,0
salfok SM tompel,1,1,0,0
yang pikmi aja heran ada yang lebih dari dia,1,1,0,0
Nama yang layak nama ICA,1,1,0,0
ternyata suami nya redflag wkwk,1,1,0,0
wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape,1,1,0,0
Ini adalah pemborosan masyarakat,1,1,0,0
Okaay nggapapaa Aku minta doyoung ajaa Makasih yaa,1,1,0,0
Wajah Bang Kok adalah sama,1,1,0,0
Si playing victim plus manipulatif abis,1,1,0,0
Ya Allah pengen ngakak goler2 aku sama trit iniiii,1,1,0,0
masih layak di katain nih orang,1,1,0,0
menipu,1,1,0,0
gimmick kocakkkk,1,1,0,0
giginya kuning...,1,1,0,0
kyak kcebong awokwoaoa,1,1,0,0
Berarti aku bener dong jawab cowok dapet 2jt nggak nih,1,1,0,0
"malesin lamak2 ya liat @Ibnu Wardani mcam doi aja yg punya uang, org kagak!...gw biasa liburan k Eropa aja B aja...kalau mau bbagi info yg positif aja",1,1,0,0
lu ngapain cok,1,1,0,0
Jadi salah ????,1,1,0,0
bodoh BGT bg gemes liatnya sok ngarti,1,0,1,0
bg lu klo jelek jan full2 bentuk wkkwkwkw,1,0,1,0
Merindzink bingung,1,1,0,0
Alisnya tasyi tinggi sebelah,1,1,0,0
@gasendra: kebanyakan bocotcotcot,1,1,0,0
Saya menemukan ayat yang berguna untuk menggunakan waktu ketika Anda berada di tengah menyerah dengan sabar dibagi menjadi dua yaitu kesabaran da,1,1,0,0
hp doang iphone tp rumah mau ambruk,1,1,0,0
jgn sok kecakepan mba banyak yg jauh lebih cakepgk sok cakep kyk situ xixixix????,1,1,0,0
"Saya mencoba berlatih kematian saya, tetapi sayangnya saya gagal karena saya agak sedih dan mudah dimaafkan",1,0,0,1
Saya sangat ingin meminta bantuan Anda untuk menemukan haji loqman bin haji azli ni mugkin Anda tidak tahu selain mugkin,1,1,0,0
Ibnuu ibnuu kebelet validasi,1,1,0,0
Caper Bgt MBA,1,1,0,0
kerjaannya banyak bacot,1,0,0,1
@muhammad hanif: lucu juga ni mascot dufan,1,1,0,0
bang ntr pas idul adha jgn keluar ye takut ketuker sama sapi wkwk,1,1,0,0
KAMPUNGAN,1,0,0,1
nggak ada otak,1,1,0,0
Semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya Jangan lupa like dan ajak 3 teman kamu unt,1,1,0,0
bct,1,0,0,1
lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,1,1,0,0
mandi g sih?,1,1,0,0
gentong berjalan tu wkw,1,1,0,0
si tolol bukannya mikir,1,0,0,1
norak lo jelek,1,0,1,0
minimal punya otak dek,1,1,0,0
Songong banget muka nya,1,1,0,0
Dagu'a Thin Kyk Needle,1,1,0,0
Si Wonyong Parat WKWKKWKWKWKWK,1,1,0,0
mukanya kotak ngakak dikit maaf bg,1,1,0,0
duit doang banyak tp gaya lu kyk orang kampung,1,1,0,0
kurus bgt badannya udh kyk ga pernah makan enak,1,1,0,0
Ketombe Lu Noh,1,1,0,0
PALING GAK BISA SOAL ADUDU,1,1,0,0
sikat gigi dlu bgg baru bikin tiktok.. jorok,1,0,1,0
cakep sih sayang aja tembem.. pipinya masa yang lain,1,1,0,0
stylenya dia tuh gmn sik??,1,1,0,0
hidung wednesday gak ngembang gitu??,1,1,0,0
@ikiii: gabisa kalo tentang tikus sawah??,1,1,0,0
Geli Pikmi,1,1,0,0
"belum juga kesana tp pemikiran sama lingkup negara nya gtt, norak bet blm jga berangkat bgg",1,0,1,0
kue anj ??,1,0,0,1
@cilukbaa: paling gbsa kalo soal lele,1,1,0,0
30 lepas ama kandang minus rada sedeng dikit,1,1,0,0
itu giginya pake kawat pager ya mba?,1,1,0,0
idungna miring,1,1,0,0
Cowo paling alay lebay se antero selebgram WKWKW NGAKAK,1,0,1,0
Manusia haus validasi wakakakkaa??,1,1,0,0
Aku merasa seperti aku tidak bisa melakukan apapun tanpa ELFungmin,1,1,0,0
@pasyi: B A C O T,1,1,0,0
mirm The sulap,1,1,0,0
serem bgt jerawat nya,1,1,0,0
agak laen memang si tasyi ini,1,1,0,0
mending beli barang..sesuai gaji... kalau gak mampu.. gak usah........... jadi malu sendiri...,1,1,0,0
gak usah di masukin berita yang ke gini mahh sombong nya ke lebihan so banget sih jadi orang??,1,1,0,0
cocok banget sm istrinya. sama2 halu,1,1,0,0
rubah,1,1,0,0
"Ini bukan hari Rabu, ini adalah malam suro??",1,1,0,0
Keturunan majikan Yaman Loes Boy hahahha,1,1,0,0
Alay emang,1,0,0,1
muka nya template y pasaran,1,1,0,0
orang kyk gini cocoknya jadi umpan buaya,1,0,1,0
dia yg nyanyi gw yg malu ??,1,1,0,0
cuma mau bilang 1 kata aja bang MANDI!,1,1,0,0
Punggung miskin dengan pria dan gadis lain pergi seperti dia tidak boleh memberi perhatian sampai GF -nya membuat pria tidak,1,0,1,0
Saus Saus Kue Rambutnya,1,1,0,0
hai gitar pik,1,1,0,0
ni orang pas pembagian otak kayanya absen,1,1,0,0
sakit sih tasyi itu ??,1,1,0,0
ngaku nya old money pdhl muka nya no money,1,1,0,0
Bongsor ke ??,1,1,0,0
gak pernah mandi dari kecil,1,1,0,0
gajah kok pede pos video joget,1,1,0,0
Selebgram kere??,1,0,1,0
kasian sm tembok nya tahan napas wkwk????,1,1,0,0
e jontor amat wkwk,1,1,0,0
Hama Tiktok,1,1,0,0
bayu aneh bgt anjir,1,0,0,1
Bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt,1,1,0,0
idungnya.. ????,1,1,0,0
